all,Ambani of the batch
all,Amma of the Batch
all,Amit Shah of the Batch
all,Angry Young Man
all,Bakchod of the Batch 
all,Batch ka Saanp
all,Bhaukali Coder
all,Dassi vale Dhokebaaz 
all,Devta Aadmi/Dev Manus
all,Dramebaaz of the Batch
all,Farrebaz of the Batch
all,Fashionista of the Batch
all,Gyaan ka Bhandar
all,Kanjoos/Baniya of the Batch
all,Kumbhkarn of the batch
all,Lord of the Drinks
all,Majnu of the batch
all,Meme Lord
all,Sakht Launda
all,Shashi Tharoor of the Batch
all,Sportsman of the Batch
all,Suteri of the Batch
all,Tharki of the Batch
all,The Geeky Gamer
all,The Gym Freak
all,The Majboor Majdoor
all,Tinder ke Dhurandhar
com,Know It All of the Year
com,Modi of the Year
com,Majdoor of the Year
com,Most Popular 
com,Memelord
